	10/18/2017	10/20/2017		36	59	5
 	10/17/2017	10/19/2017		35	60	5
 	10/16/2017	10/18/2017		36	59	5
 	10/15/2017	10/17/2017		36	59	5
 	10/14/2017	10/16/2017		37	58	5
 	10/13/2017	10/15/2017		36	59	5
 	10/12/2017	10/14/2017		38	56	6
 	10/11/2017	10/13/2017		38	56	6
 	10/10/2017	10/12/2017		39	54	7
 	10/09/2017	10/11/2017		37	57	6
 	10/08/2017	10/10/2017		37	56	7
 	10/07/2017	10/09/2017		36	58	6
 	10/06/2017	10/08/2017		37	56	7
 	10/05/2017	10/07/2017		38	57	5
 	10/04/2017	10/06/2017		39	56	5
 	10/03/2017	10/05/2017		39	57	4
 	10/02/2017	10/04/2017		39	56	5
 	10/01/2017	10/03/2017		39	57	4
 	09/30/2017	10/02/2017		38	57	5
 	09/29/2017	10/01/2017		37	57	6
 	09/28/2017	09/30/2017		38	57	5
 	09/27/2017	09/29/2017		37	58	5
 	09/26/2017	09/28/2017		37	59	4
 	09/25/2017	09/27/2017		36	59	5
 	09/24/2017	09/26/2017		37	58	5
 	09/23/2017	09/25/2017		39	56	5
 	09/22/2017	09/24/2017		39	54	7
 	09/21/2017	09/23/2017		40	54	6
 	09/20/2017	09/22/2017		37	56	7
 	09/19/2017	09/21/2017		38	56	6
 	09/18/2017	09/20/2017		37	56	7
 	09/17/2017	09/19/2017		39	55	6
 	09/16/2017	09/18/2017		38	55	7
 	09/15/2017	09/17/2017		38	56	6
 	09/14/2017	09/16/2017		38	57	5
 	09/13/2017	09/15/2017		36	59	5
 	09/12/2017	09/14/2017		37	57	6
 	09/11/2017	09/13/2017		37	56	7
 	09/10/2017	09/12/2017		37	57	6
 	09/09/2017	09/11/2017		37	58	5
 	09/08/2017	09/10/2017		38	57	5
 	09/07/2017	09/09/2017		38	56	6
 	09/06/2017	09/08/2017		38	56	6
 	09/05/2017	09/07/2017		36	57	7
 	09/04/2017	09/06/2017		36	57	7
 	09/03/2017	09/05/2017		37	56	7
 	09/02/2017	09/04/2017		37	56	7
 	09/01/2017	09/03/2017		38	56	6
