,up,down,left,right
"(0,0)",-4.97638816759,-4.97638816759,-4.97638816759,-4.97638816759
"(0,1)",-4.97048520948,-4.97048520948,-4.97048520948,-4.97048520948
"(0,2)",-4.97048520948,-4.96310651185,-4.97048520948,-4.97048520948
"(0,3)",-4.97048520948,-4.97048520948,-4.97048520948,-202.951424
"(0,4)",-200.0,-200.0,-4.97638816759,-4.9968308735
"(0,5)",-4.9974646988,-4.9974646988,-203.95388314,-4.9974646988
"(0,6)",-4.9974646988,-203.725122093,-4.9974646988,-201.44
"(0,7)",-200.8,-4.82407813956,-4.90992800745,-3.68928
"(0,8)",-4.82407813956,-4.78009767444,-202.68928,-200.8
"(0,9)",-200.0,-3.951424,-4.5705032704,-4.1611392
"(0,1)",-4.72512209306,-4.65640261632,-202.951424,-200.8
"(0,1)",-200.0,-4.5705032704,-3.3616,-4.463129088
"(0,1)",-4.463129088,-4.463129088,-200.0,-203.1611392
"(0,1)",-200.0,-4.32891136,-4.463129088,-4.32891136
"(0,1)",-4.32891136,-4.1611392,-201.952,-4.463129088
"(0,1)",-4.463129088,-202.3616,-4.32891136,-201.952
"(0,1)",-200.0,-2.952,-4.1611392,-200.8
"(0,1)",-200.8,-2.44,-202.3616,-1.0
"(0,1)",-1.0,-1.8,-200.8,0.0
"(0,1)",0.0,0.0,0.0,0.0
"(1,0)",-4.97638816759,-201.44,-4.97638816759,-4.97048520948
"(1,1)",-4.97048520948,-4.96310651185,-4.96310651185,-4.96310651185
"(1,2)",-4.96310651185,-4.95388313982,-4.96310651185,-4.96310651185
"(1,3)",-4.97048520948,-203.656402616,-4.96310651185,-201.952
"(1,4)",-200.0,-200.0,-4.92794240596,-4.85926251164
"(1,5)",-4.9968308735,-203.859262512,-201.44,-203.859262512
"(1,6)",-4.97638816759,-4.82407813956,-4.96310651185,-4.82407813956
"(1,7)",-200.8,-4.78009767444,-200.8,-4.78009767444
"(1,8)",-4.82407813956,-4.72512209306,-4.78009767444,-4.72512209306
"(1,9)",-200.0,-4.65640261632,-4.78009767444,-4.65640261632
"(1,1)",-4.65640261632,-4.5705032704,-4.72512209306,-4.5705032704
"(1,1)",-200.8,-4.463129088,-4.65640261632,-4.463129088
"(1,1)",-4.463129088,-4.32891136,-4.5705032704,-4.32891136
"(1,1)",-202.68928,-4.1611392,-4.32891136,-4.1611392
"(1,1)",-4.32891136,-3.951424,-4.32891136,-202.3616
"(1,1)",-4.1611392,-3.68928,-4.1611392,-2.952
"(1,1)",-202.3616,-3.3616,-202.3616,-2.44
